num of threads,lowest time,highest time,average time,stdev time
1,0.0109988,0.0937961,0.014966110999999999,0.00823707801792068
2,0.0109985,0.022997,0.014779497,0.0022984430441854863
3,0.0115223,0.026217,0.015594494000000007,0.0030505637807077
4,0.0109916,0.0255401,0.015553981,0.00314634040564927
5,0.010004,0.0242734,0.015439041999999997,0.00260334391699164
6,0.0129899,0.0207072,0.015646266999999995,0.0017497614747144679
7,0.0119932,0.024412,0.015866290999999998,0.0021965080467444527
8,0.0129916,0.0190989,0.015520134999999996,0.001562368654835059
9,0.0119984,0.0231805,0.016425755999999993,0.002567229861756627
10,0.0119883,0.0221285,0.016073162999999998,0.002360799094539556
11,0.0109962,0.0251979,0.014650608,0.0022261480314015804
12,0.0120004,0.0215481,0.015579351999999992,0.001851742183904802
13,0.0130019,0.0259958,0.016833206,0.002183099473611042
14,0.0110184,0.0250117,0.015646641,0.002806331461199871
15,0.0119959,0.02445,0.016080561000000004,0.00290287824102235
16,0.0111638,0.0220006,0.015285563999999998,0.0024102593499966897
17,0.0113957,0.0279751,0.015924045999999997,0.0029629251222541633
18,0.0115108,0.0370371,0.015770064000000004,0.0034093633816869506
19,0.0119868,0.0285578,0.016184015,0.003278459904271233
20,0.0119891,0.0231832,0.015799469000000007,0.0018433233760317945
21,0.0130048,0.0234336,0.016531821,0.002077614476360527
22,0.0139954,0.0227215,0.016645321999999997,0.0016883894469468873
23,0.0129962,0.0220772,0.01650349999999999,0.0017224277671737975
24,0.0129971,0.0265692,0.016605703,0.00201267010496133
25,0.0129973,0.0210015,0.016924313,0.0019265150322344369
26,0.0119913,0.0233306,0.016713129999999996,0.001976305740286889
27,0.0129959,0.0230363,0.01667194600000001,0.002227892664725883
28,0.0129999,0.0220195,0.016825009,0.00206793827732045
29,0.0139959,0.024291,0.017583930999999994,0.0021631884915650312
30,0.0139043,0.0252079,0.017831457000000012,0.0017788317161538778
31,0.0139942,0.0259068,0.017681996999999994,0.0020651737793904463
32,0.0129983,0.0224934,0.016848568000000005,0.0022111136361790567
33,0.0129821,0.0246497,0.016040310000000002,0.00213668046969966
34,0.012992,0.0226435,0.016882253000000003,0.0020309111446007765
35,0.0129978,0.0266723,0.017352427000000007,0.002746603077774325
36,0.0128852,0.0370854,0.016365717,0.0029730862481604885
37,0.0130265,0.020001,0.016284829000000004,0.0015123812030344466
38,0.0130423,0.0215164,0.016476818,0.001850307587609054
39,0.0134488,0.0250009,0.016678077000000003,0.002134078839003334
40,0.0139943,0.0260225,0.017460461000000004,0.0020010817572429936
41,0.0145114,0.0250057,0.018060198,0.0022429371274678513
42,0.0140003,0.0250052,0.017426500000000004,0.00214762037260976
43,0.0139959,0.0290059,0.017271952,0.0030035111607960214
44,0.0139963,0.0301925,0.017209849000000003,0.0022354959793829585
