Precision,	Pass/Fail,	Sequential Time,	Sequential Part Time,	Parallel Time
0.900000,	PASSED,	0.000100,	0.000000,	0.001200
0.800000,	PASSED,	0.000100,	0.000000,	0.001400
0.700000,	PASSED,	0.000100,	0.000100,	0.001300
0.600000,	PASSED,	0.000200,	0.000000,	0.001300
0.500000,	PASSED,	0.000000,	0.000000,	0.002300
0.400000,	PASSED,	0.000100,	0.000000,	0.002100
0.300000,	PASSED,	0.000000,	0.000100,	0.002200
0.200000,	PASSED,	0.000000,	0.000000,	0.002300
0.100000,	PASSED,	0.000400,	0.000200,	0.003100
0.090000,	PASSED,	0.000500,	0.000100,	0.003100
0.080000,	PASSED,	0.000700,	0.000100,	0.003600
0.070000,	PASSED,	0.000700,	0.000100,	0.004300
0.060000,	PASSED,	0.000900,	0.000300,	0.004100
0.050000,	PASSED,	0.000900,	0.000000,	0.005700
0.040000,	PASSED,	0.001400,	0.000200,	0.006400
0.030000,	PASSED,	0.001400,	0.000000,	0.008200
0.020000,	PASSED,	0.002500,	0.000000,	0.011600
0.010000,	PASSED,	0.004400,	0.000100,	0.025100
0.009000,	PASSED,	0.004800,	0.000000,	0.027200
0.008000,	PASSED,	0.005600,	0.000000,	0.031500
0.007000,	PASSED,	0.006000,	0.000100,	0.035800
0.006000,	PASSED,	0.007400,	0.000100,	0.042200
0.005000,	PASSED,	0.009300,	0.000100,	0.050300
0.004000,	PASSED,	0.011800,	0.000000,	0.063000
0.003000,	PASSED,	0.014300,	0.000000,	0.084500
0.002000,	PASSED,	0.021600,	0.000000,	0.123700
0.001000,	PASSED,	0.040900,	0.000200,	0.246300
0.000900,	PASSED,	0.045800,	0.000100,	0.272100
0.000800,	PASSED,	0.051200,	0.000000,	0.312100
0.000700,	PASSED,	0.058700,	0.000200,	0.351800
0.000600,	PASSED,	0.068400,	0.000000,	0.411700
0.000500,	PASSED,	0.081500,	0.000100,	0.491700
0.000400,	PASSED,	0.100900,	0.000200,	0.617700
0.000300,	PASSED,	0.133800,	0.000000,	0.816100
0.000200,	PASSED,	0.193100,	0.000100,	1.185100
0.000100,	PASSED,	0.321800,	0.000000,	1.958700
